"Provider","Month","Symbol","Customer","Country","KPI_Value","Comment"
"Operator ACME PL","04/01/2018","2G MBA","All","PL","93.834223333333","The problems resulted from the database - problems with profile synchronization. The work completed at 04-30, together with the supplier, we re-installed the streams on all three nodes (VMS-J, VMS-L i VMS-K)"
"Operator ACME PL","04/01/2018","2G NA-W","All","PL","99.898633333333",""
"Operator ACME PL","04/01/2018","2G NW CDR","All","PL","0.45735666666667",""
"Operator ACME PL","04/01/2018","2G PD","All","PL","100.69837037037",""
"Operator ACME PL","04/01/2018","2G SMS DD","All","PL","4.1067766666667",""
"Operator ACME PL","04/01/2018","2G SMS MTM SR","All","PL","97.702864285714","Two OCP failures (RP cause 41 - Temporary Failure).
Failures on 7,8,9.04 and 30/04.
Easter depressed SR Mt on 01/04."
"Operator ACME PL","04/01/2018","2G/3G CSSR","All","PL","99.801343333333",""
"Operator ACME PL","04/01/2018","2G/3G MTBDC","All","PL","1538.38663",""
"Operator ACME PL","04/01/2018","3G HSDPA-A","All","PL","99.681913333333",""
"Operator ACME PL","04/01/2018","3G HSDPA Operator ACME OA","All","PL","160464.15690667",""
"Operator ACME PL","04/01/2018","3G NA-W","All","PL","99.856323333333",""
"Operator ACME PL","04/01/2018","3G PD","All","PL","53.774944444444",""
"Operator ACME PL","04/01/2018","4G Operator ACME OA","All","PL","21457.423426667",""
"Operator ACME PL","04/01/2018","4G PD","All","PL","27.464185185185",""
"Operator ACME RO","04/01/2018","2G CSSR","All","RO","99.13",""
"Operator ACME RO","04/01/2018","2G EDGE Operator ACME OA","All","RO","109.19",""
"Operator ACME RO","04/01/2018","2G GPRS Operator ACME OA","All","RO","42",""
"Operator ACME RO","04/01/2018","2G GPRS PD","All","RO","710",""
"Operator ACME RO","04/01/2018","2G MBA","All","RO","",""
"Operator ACME RO","04/01/2018","2G NA-W","All","RO","99.79",""
"Operator ACME RO","04/01/2018","2G NW CDR","All","RO","0.72",""
"Operator ACME RO","04/01/2018","2G PD","All","RO","246",""
"Operator ACME RO","04/01/2018","2G SMS DD","All","RO","",""
"Operator ACME RO","04/01/2018","2G SMS MTM SR","All","RO","",""
"Operator ACME RO","04/01/2018","2G/3G CSSR","All","RO","99.39",""
"Operator ACME RO","04/01/2018","2G/3G MTBDC","All","RO","461.97",""
"Operator ACME RO","04/01/2018","3G HSDPA-A","All","RO","99.01",""
"Operator ACME RO","04/01/2018","3G HSDPA Operator ACME OA","All","RO","4079.06",""
"Operator ACME RO","04/01/2018","3G NA-W","All","RO","99.79",""
"Operator ACME RO","04/01/2018","3G PD","All","RO","52",""
"Operator ACME RO","04/01/2018","4G Operator ACME OA","All","RO","",""
"Operator ACME RO","04/01/2018","4G PD","All","RO","37.73",""
"Operator ACME SK","04/01/2018","2G CSSR","All","SK","99.648663827117",""
"Operator ACME SK","04/01/2018","2G EDGE Operator ACME OA","All","SK","",""
"Operator ACME SK","04/01/2018","2G GPRS Operator ACME OA","All","SK","",""
"Operator ACME SK","04/01/2018","2G GPRS PD","All","SK","",""
"Operator ACME SK","04/01/2018","2G MBA","All","SK","",""
"Operator ACME SK","04/01/2018","2G NA-W","All","SK","99.92265058",""
"Operator ACME SK","04/01/2018","2G NW CDR","All","SK","0.38261939601796",""
"Operator ACME SK","04/01/2018","2G PD","All","SK","",""
"Operator ACME SK","04/01/2018","2G SMS DD","All","SK","5.728",""
"Operator ACME SK","04/01/2018","2G SMS MTM SR","All","SK","100",""
"Operator ACME SK","04/01/2018","2G/3G CSSR","All","SK","99.776560853064",""
"Operator ACME SK","04/01/2018","2G/3G MTBDC","All","SK","730.65148244852",""
"Operator ACME SK","04/01/2018","3G HSDPA-A","All","SK","99.421816307449",""
"Operator ACME SK","04/01/2018","3G HSDPA Operator ACME OA","All","SK","5918.1897951251",""
"Operator ACME SK","04/01/2018","3G NA-W","All","SK","99.994661216925",""
"Operator ACME SK","04/01/2018","3G PD","All","SK","",""
"Operator ACME SK","04/01/2018","4G Operator ACME OA","All","SK","32846.510238076",""
